time,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0.427500000,1.823641356,0.115159741,0.628852531,0.010886049,-0.060685269,-0.361630203,0.001678201,0.929214740,0.369512396,0.004211850
0.430000000,0.342763023,0.308719325,0.013119491,0.011072786,-0.074910052,-0.369937149,0.001659793,0.929254812,0.369412128,0.004173534
0.432500000,-1.125919779,0.466431612,-0.601955527,0.011258138,-0.070736006,-0.372986680,0.001643143,0.929300043,0.369298784,0.004139917
0.435000000,-1.759281292,0.545466629,-0.863093795,0.011297043,-0.054131371,-0.360633385,0.001620990,0.929338308,0.369203105,0.004092401
0.437500000,-1.155821136,0.520106263,-0.598742247,0.011484247,-0.037761653,-0.369861696,0.001589855,0.929377204,0.369106089,0.004022474
0.440000000,0.287319005,0.404243762,0.019878458,0.011408932,-0.034167676,-0.351878092,0.001553358,0.929411293,0.369021299,0.003939031
0.442500000,1.741599665,0.229577391,0.636492970,0.011653766,-0.049348707,-0.370109051,0.001519079,0.929443966,0.368939965,0.003861259
0.445000000,2.382689681,0.047945685,0.898789686,0.011744060,-0.077010801,-0.364265436,0.001494221,0.929479426,0.368851280,0.003807442
0.447500000,1.810240236,-0.087795812,0.636049034,0.012101274,-0.104148086,-0.385814363,0.001482356,0.929514355,0.368763514,0.003786483
0.450000000,0.418903875,-0.141333986,0.018073586,0.012377093,-0.117927433,-0.397894357,0.001479468,0.929559000,0.368650953,0.003788468
0.452500000,-0.963047444,-0.090938577,-0.599907303,0.012595230,-0.112025260,-0.410031360,0.001477944,0.929604122,0.368537106,0.003793747
0.455000000,-1.515169693,0.047651091,-0.864717498,0.012817542,-0.092520211,-0.431449121,0.001469864,0.929659083,0.368398592,0.003782454
0.457500000,-0.840773331,0.240061113,-0.604938662,0.012784732,-0.072140697,-0.425549614,0.001451381,0.929713622,0.368261393,0.003744502
0.460000000,0.661910712,0.430866544,0.009481522,0.012986148,-0.063627518,-0.443586449,0.001425561,0.929771014,0.368117139,0.003687896
0.462500000,2.160845335,0.562930653,0.622669831,0.013017191,-0.073106426,-0.425378175,0.001399425,0.929826795,0.367976891,0.003630571
0.465000000,2.830776191,0.600444298,0.882402854,0.013386972,-0.094536891,-0.434332134,0.001379961,0.929877474,0.367849273,0.003590421
0.467500000,2.271131660,0.527148755,0.618499068,0.013662077,-0.115116977,-0.421539425,0.001370210,0.929928302,0.367720942,0.003575514
0.470000000,0.876215337,0.369400491,0.000056470,0.014015650,-0.122252082,-0.424196437,0.001366428,0.929971799,0.367610933,0.003576043
0.472500000,-0.525488135,0.174128009,-0.617572258,0.014250964,-0.109883835,-0.431849163,0.001360742,0.930020135,0.367488691,0.003572050
0.475000000,-1.111717551,0.003910828,-0.881334089,0.014239024,-0.084293745,-0.432435219,0.001345823,0.930065512,0.367374157,0.003544241
0.477500000,-0.486705835,-0.083288676,-0.620569518,0.014275757,-0.058463081,-0.459132637,0.001317859,0.930118813,0.367239877,0.003482826
0.480000000,0.954475880,-0.062882603,-0.004861023,0.014083475,-0.045308609,-0.457768185,0.001280503,0.930175107,0.367098206,0.003396876
0.482500000,2.380240637,0.064007607,0.609883924,0.014216425,-0.051145407,-0.486309567,0.001241042,0.930236443,0.366943724,0.003305155
0.485000000,2.967518254,0.255305358,0.871826413,0.014273891,-0.070045746,-0.481547188,0.001206923,0.930303137,0.366775412,0.003227042
0.487500000,2.319086560,0.455672527,0.611909370,0.014577049,-0.089344424,-0.493752804,0.001181721,0.930367266,0.366613276,0.003171797
