time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1769645286.628324,-9.815877,0.160808,0.117767,-0.007330,-0.013134,0.003818,-9.614418,0.096246,0.132712,0.004123,-0.014661,0.005345,-9.612027,0.342539,0.090866,-0.009927,0.000764,-0.000611,-9.391438,0.175753,0.117169,0.009621,0.006720,-0.004734
1769645286.629281,-9.796746,0.013152,0.278575,-0.009774,-0.012217,0.001833,-9.604255,-0.049020,0.281564,0.004123,-0.013897,0.003360,-9.642514,0.211023,0.251076,-0.009927,0.004887,-0.001680,-9.435676,0.065758,0.200861,0.005651,0.006720,-0.002138
1769645286.629281,-9.774031,-0.031086,0.258250,-0.012675,-0.010690,-0.002902,-9.564202,-0.034672,0.230153,0.003054,-0.011606,0.001985,-9.645503,0.178742,0.287542,-0.013744,0.001527,-0.003665,-9.430893,0.058584,0.196078,0.001833,0.000305,-0.005498
1769645286.629281,-9.805116,0.019727,0.163797,-0.008858,-0.005040,-0.001222,-9.606647,-0.025108,0.156624,0.003971,-0.012523,0.002138,-9.643112,0.224773,0.145863,-0.013744,0.002138,-0.001985,-9.434480,0.086083,0.129125,0.004734,0.000305,-0.005651
1769645286.629281,-9.794355,0.054998,0.167384,-0.009927,-0.005040,-0.000764,-9.604255,-0.015543,0.193687,0.003360,-0.011912,0.001374,-9.618005,0.264825,0.151841,-0.007636,0.004734,-0.004123,-9.412958,0.083094,0.191894,0.004734,0.000305,-0.006261
1769645286.629281,-9.879243,0.015543,0.406504,-0.010996,-0.009316,-0.000153,-9.660448,-0.017934,0.309063,0.003360,-0.008247,0.002291,-9.716641,0.239120,0.340746,-0.007636,0.006414,-0.002443,-9.488282,0.090866,0.281564,0.005498,0.005803,-0.007330
1769645286.629281,-9.877449,-0.013749,0.295313,-0.009927,-0.007178,-0.001833,-9.665230,-0.066954,0.240316,0.002596,-0.012217,0.001527,-9.732184,0.190100,0.325203,-0.011759,0.002291,-0.003665,-9.505020,0.039455,0.252272,0.005651,0.005803,-0.007483
1769645286.629281,-9.821855,-0.021521,0.159015,-0.010232,-0.008552,-0.003665,-9.607842,-0.059182,0.197872,0.002749,-0.009927,0.001985,-9.647297,0.205643,0.166188,-0.010537,0.003360,-0.005192,-9.445240,0.038259,0.149450,0.004887,0.004276,-0.008705
1769645286.629281,-9.855330,-0.014347,0.206839,-0.011148,-0.004429,-0.002443,-9.636537,-0.076518,0.282759,0.002749,-0.010232,0.000305,-9.664036,0.162602,0.149450,-0.010537,0.006872,-0.003207,-9.450023,0.027499,0.234338,0.006567,0.006261,-0.007178
1769645286.629281,-9.955761,-0.059182,0.387972,-0.009468,-0.004429,-0.002138,-9.746531,-0.069345,0.328192,0.002138,-0.009316,0.001069,-9.783595,0.163797,0.355093,-0.010537,0.007483,-0.002291,-9.580342,-0.014347,0.297107,0.009621,0.006261,-0.006261
1769645286.629281,-10.010758,-0.058584,0.426829,-0.009163,-0.006720,-0.000305,-9.772835,-0.089670,0.341344,0.005345,-0.010843,0.000764,-9.846962,0.160210,0.419058,-0.010232,0.006109,-0.003665,-9.634145,0.020325,0.322812,0.006872,0.008399,-0.005498
